0.2	[work, packages, linked, feature, change, request, asset]	[update, work, packages, transition, state, work, flow, adjust, hours, edit, work, package, details]	[work, packages]
0.2857143	[work, packages, linked, feature, change, request, asset]	[desired, work, package, work, work, packages, tab]	[work, packages]
0	[work, packages, linked, feature, change, request, asset]	[click, update]	[]
0.16666667	[work, packages, linked, feature, change, request, asset]	[make, desired, changes, work, package]	[work]
0.13333334	[work, packages, linked, feature, change, request, asset]	[changes, include, moving, work, package, state, work, flow]	[work]
0.15384616	[work, packages, linked, feature, change, request, asset]	[declaring, approval, content, associated, work, package]	[work]
0.14285715	[work, packages, linked, feature, change, request, asset]	[adjusting, hours, spent, current, stage, work, flow]	[work]
0.16666667	[work, packages, linked, feature, change, request, asset]	[adding, note, work, package, information]	[work]
0.125	[work, packages, linked, feature, change, request, asset]	[approving, content, select, state, work, flow, select, approval, option]	[work]
0	[work, packages, linked, feature, change, request, asset]	[click, save]	[]
0.2	[work, packages, linked, feature, change, request, asset]	[work, package, updated]	[work]
0.33333334	[work, package, linked, item, work, package, appears, details, item]	[updating, work, package, work, package, state, work, flow, adjust, hours, assigned, add, approvals, edit, information]	[work, package, work, package]
0.14285715	[work, package, linked, item, work, package, appears, details, item]	[know, understand, work, flow, product]	[work]
0.23076923	[work, package, linked, item, work, package, appears, details, item]	[work, package, uses, cms, content, ensure, impacted, topics, checked, cms, recent, version, content, available, state, work, flow]	[work, package, work]
0.36363637	[work, package, linked, item, work, package, appears, details, item]	[update, work, packages, transition, state, work, flow, adjust, hours, edit, work, package, details]	[work, work, package, details]
0.375	[work, package, linked, item, work, package, appears, details, item]	[desired, work, package, work, work, packages, tab]	[work, package, work]
0	[work, package, linked, item, work, package, appears, details, item]	[click, update]	[]
0.2857143	[work, package, linked, item, work, package, appears, details, item]	[make, desired, changes, work, package]	[work, package]
0.3529412	[work, package, linked, item, work, package, appears, details, item]	[changes, include, moving, work, package, state, work, flow]	[work, package, work]
0.26666668	[work, package, linked, item, work, package, appears, details, item]	[declaring, approval, content, associated, work, package]	[work, package]
0.125	[work, package, linked, item, work, package, appears, details, item]	[adjusting, hours, spent, current, stage, work, flow]	[work]
0.2857143	[work, package, linked, item, work, package, appears, details, item]	[adding, note, work, package, information]	[work, package]
0.11111111	[work, package, linked, item, work, package, appears, details, item]	[approving, content, select, state, work, flow, select, approval, option]	[work]
0	[work, package, linked, item, work, package, appears, details, item]	[click, save]	[]
0.33333334	[work, package, linked, item, work, package, appears, details, item]	[work, package, updated]	[work, package]
0.23076923	[work, package, assigned, resource, autogenerated, email, notification, sent, assignee, details, assignment]	[updating, work, package, work, package, state, work, flow, adjust, hours, assigned, add, approvals, edit, information]	[work, package, assigned]
0.125	[work, package, assigned, resource, autogenerated, email, notification, sent, assignee, details, assignment]	[know, understand, work, flow, product]	[work]
0.14285715	[work, package, assigned, resource, autogenerated, email, notification, sent, assignee, details, assignment]	[work, package, uses, cms, content, ensure, impacted, topics, checked, cms, recent, version, content, available, state, work, flow]	[work, package]
0.25	[work, package, assigned, resource, autogenerated, email, notification, sent, assignee, details, assignment]	[update, work, packages, transition, state, work, flow, adjust, hours, edit, work, package, details]	[work, package, details]
0.22222222	[work, package, assigned, resource, autogenerated, email, notification, sent, assignee, details, assignment]	[desired, work, package, work, work, packages, tab]	[work, package]
0	[work, package, assigned, resource, autogenerated, email, notification, sent, assignee, details, assignment]	[click, update]	[]
0.25	[work, package, assigned, resource, autogenerated, email, notification, sent, assignee, details, assignment]	[make, desired, changes, work, package]	[work, package]
0.21052632	[work, package, assigned, resource, autogenerated, email, notification, sent, assignee, details, assignment]	[changes, include, moving, work, package, state, work, flow]	[work, package]
0.23529412	[work, package, assigned, resource, autogenerated, email, notification, sent, assignee, details, assignment]	[declaring, approval, content, associated, work, package]	[work, package]
0.11111111	[work, package, assigned, resource, autogenerated, email, notification, sent, assignee, details, assignment]	[adjusting, hours, spent, current, stage, work, flow]	[work]
0.25	[work, package, assigned, resource, autogenerated, email, notification, sent, assignee, details, assignment]	[adding, note, work, package, information]	[work, package]
